zone,grade,school,address,long,lat,pone,principal,principal_email,grades,school_hours,img,hpsurl,deseurl
Kelly,Kindergarten,Dr. Marcella R. Kelly,"216 West Street, Holyoke, MA, 01040",-72.6004943,42.2023674,413-534-2000,Aaron Morris,amorris@hps.holyoke.ma.us,Pre-K - 5,8:45 AM – 3:30 PM,Kelly.jpg,https://www.hps.holyoke.ma.us/schools/kelly-full-service-community-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370040&orgtypecode=6
Kelly,Grade 1,Dr. Marcella R. Kelly,"216 West Street, Holyoke, MA, 01040",-72.6004943,42.2023674,413-534-2000,Aaron Morris,amorris@hps.holyoke.ma.us,Pre-K - 5,8:45 AM – 3:30 PM,Kelly.jpg,https://www.hps.holyoke.ma.us/schools/kelly-full-service-community-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370040&orgtypecode=6
Kelly,Grade 2,Dr. Marcella R. Kelly,"216 West Street, Holyoke, MA, 01040",-72.6004943,42.2023674,413-534-2000,Aaron Morris,amorris@hps.holyoke.ma.us,Pre-K - 5,8:45 AM – 3:30 PM,Kelly.jpg,https://www.hps.holyoke.ma.us/schools/kelly-full-service-community-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370040&orgtypecode=6
Kelly,Grade 3,Dr. Marcella R. Kelly,"216 West Street, Holyoke, MA, 01040",-72.6004943,42.2023674,413-534-2000,Aaron Morris,amorris@hps.holyoke.ma.us,Pre-K - 5,8:45 AM – 3:30 PM,Kelly.jpg,https://www.hps.holyoke.ma.us/schools/kelly-full-service-community-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370040&orgtypecode=6
Kelly,Grade 4,Dr. Marcella R. Kelly,"216 West Street, Holyoke, MA, 01040",-72.6004943,42.2023674,413-534-2000,Aaron Morris,amorris@hps.holyoke.ma.us,Pre-K - 5,8:45 AM – 3:30 PM,Kelly.jpg,https://www.hps.holyoke.ma.us/schools/kelly-full-service-community-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370040&orgtypecode=6
Kelly,Grade 5,Dr. Marcella R. Kelly,"216 West Street, Holyoke, MA, 01040",-72.6004943,42.2023674,413-534-2000,Aaron Morris,amorris@hps.holyoke.ma.us,Pre-K - 5,8:45 AM – 3:30 PM,White.jpg,https://www.hps.holyoke.ma.us/schools/kelly-full-service-community-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370040&orgtypecode=6
White,Kindergarten,E. N. White,"1 Jefferson Street, Holyoke, MA, 01040",-72.6261121,42.2250882,413-534-2058,Karyn McDermott,kmcdermott@hps.holyoke.ma.us,Pre-K - 5,7:45 AM – 2:30 PM,White.jpg,https://www.hps.holyoke.ma.us/schools/e-n-white-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370045&orgtypecode=6
White,Grade 1,E. N. White,"1 Jefferson Street, Holyoke, MA, 01040",-72.6261121,42.2250882,413-534-2058,Karyn McDermott,kmcdermott@hps.holyoke.ma.us,Pre-K - 5,7:45 AM – 2:30 PM,White.jpg,https://www.hps.holyoke.ma.us/schools/e-n-white-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370045&orgtypecode=6
White,Grade 2,E. N. White,"1 Jefferson Street, Holyoke, MA, 01040",-72.6261121,42.2250882,413-534-2058,Karyn McDermott,kmcdermott@hps.holyoke.ma.us,Pre-K - 5,7:45 AM – 2:30 PM,White.jpg,https://www.hps.holyoke.ma.us/schools/e-n-white-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370045&orgtypecode=6
White,Grade 3,E. N. White,"1 Jefferson Street, Holyoke, MA, 01040",-72.6261121,42.2250882,413-534-2058,Karyn McDermott,kmcdermott@hps.holyoke.ma.us,Pre-K - 5,7:45 AM – 2:30 PM,White.jpg,https://www.hps.holyoke.ma.us/schools/e-n-white-school/,https://profiles.doe.mass.edu/general/general.aspx?topNavID=1&leftNavId=100&orgcode=01370045&orgtypecode=6
